"CAVS_CODE","CAAB_CODE","NAMES_VARIOUS","SCIENTIFIC_NAME","FAMILY","GENUS","SUBGENUS","SPECIES","SUBSPECIES","NAME_TYPE","NAME_SUBTYPE","RANK","QUALIFICATION","AUTHOR","YEAR","ORIG_COMBINATION","NAME_GUID","NAME_LAST_UPDATE","TAXON_GUID","TAXON_LAST_UPDATE","PARENT_TAXON_GUID","CONCEPT_GUID","PUB_PUB_AUTHOR","PUB_PUB_YEAR","PUB_PUB_TITLE","PUB_PUB_PAGES","PUB_PUB_PARENT_BOOK_TITLE","PUB_PUB_PARENT_JOURNAL_TITLE","PUB_PUB_PARENT_ARTICLE_TITLE","PUB_PUB_PUBLICATION_DATE","PUB_PUB_PUBLISHER","PUB_PUB_FORMATTED","PUB_PUB_QUALIFICATION","PUB_PUB_TYPE","PUBLICATION_GUID","PUBLICATION_LAST_UPDATE","PARENT_PUBLICATION_GUID"
"","","Razor Grinder","","","","","","","Common Name","","Species","","","","","f948d710-f4ce-4929-b32e-16f42831f82e","20250530T00:56:36.273+0000","0a06d247-f775-465e-bab9-0dbcd063eae5","20250729T23:16:11.865+0000","","","","","","","","","","","","","","","","",""
"","","eydouxii","Cicada eydouxii Guérin-Méneville, 1838","","Cicada","","eydouxii","","Synonym","synonym","Species","","Guérin-Méneville","1838","Y","609fce9a-b4ff-435b-a7af-b150eac899df","20250530T00:56:36.273+0000","0a06d247-f775-465e-bab9-0dbcd063eae5","20250729T23:16:11.865+0000","","7ce05214-acbc-4753-a2f1-0f1149ea0c97","Guérin-Méneville, F.E.","1838","Insectes","57-302","Voyage Autour du Monde, <i>exécuté par ordre du Roi, sur la corvette de sa Majesté, La Coquille, pendant les années 1822, 1823, 1824 et 1825, sous le minestère et conformément aux instructions de S.E.M. le Marquis de Clermont-Tonnerre, Ministre de la Marine; et publié sous les auspices de son Excellence Mgr le Cte de Chabrol, Ministre de la Marine et des Colonies</i>","","","","","<!--MARK--><a href='null8d14c8df-b57b-4ed1-8955-2ecae8ee9f0a' class='mouseoverHref'>Guérin-Méneville, F.E. 1838. Insectes. pp. 57-302</a> <!--MARK--><em>in</em> <!--MARK--><a href='null414d1993-2658-4238-a49b-2365254325ce' class='mouseoverHref'>Duperrey, L.I. (ed.). <em>Voyage Autour du Monde, <i>exécuté par ordre du Roi, sur la corvette de sa Majesté, La Coquille, pendant les années 1822, 1823, 1824 et 1825, sous le minestère et conformément aux instructions de S.E.M. le Marquis de Clermont-Tonnerre, Ministre de la Marine; et publié sous les auspices de son Excellence Mgr le Cte de Chabrol, Ministre de la Marine et des Colonies</i></em>. Paris : A. Bertrand.</a><!--MARK--><!--MARK--> [Text; Zoologie 2(2), Division 1]","Text; Zoologie 2(2), Division 1","Chapter in Book","8d14c8df-b57b-4ed1-8955-2ecae8ee9f0a","20081009T05:11:37.000+0000","414d1993-2658-4238-a49b-2365254325ce"
"","","flavescens","Psaltoda flavescens Froggatt, 1895","","Psaltoda","","flavescens","","Synonym","synonym","Species","misidentification","Froggatt","1895","Y","fb4d9348-1e4b-4166-871a-de3c6eeb1420","20250530T00:56:36.273+0000","0a06d247-f775-465e-bab9-0dbcd063eae5","20250729T23:16:11.865+0000","","54a24161-b1a0-4d7b-93bf-24e7abb7b118","Froggatt, W.W.","1895","Notes on Cicadas","526-532","","Proceedings of the Linnean Society of New South Wales","","","","<!--MARK--><a href='null586f39f8-4048-405c-9437-197ea87defab' class='mouseoverHref'>Froggatt, W.W. 1895. Notes on Cicadas.</a> <!--MARK--><!--MARK--><a href='nullc12cd779-adb5-41ea-bd2c-75f6864cf22e' class='mouseoverHref'><em>Proceedings of the Linnean Society of New South Wales</em></a> 2 <strong>10</strong>(4): 526-532<!--MARK-->","","Article in Journal","586f39f8-4048-405c-9437-197ea87defab","20081009T05:11:37.000+0000","c12cd779-adb5-41ea-bd2c-75f6864cf22e"
"","","kelsalli","Henicopsaltria kelsalli Distant, 1910","CICADIDAE","Henicopsaltria","","kelsalli","","Valid Name","","Species","","Distant","1910","Y","6e7fdc74-18f9-4f49-b964-12aaeb9bd38b","20250530T00:56:36.273+0000","bb7e1efd-9dc1-453a-8a36-442b3e9fe085","20250729T23:16:11.865+0000","640f995a-e649-4529-8c02-4eeae912f431","bb7e1efd-9dc1-453a-8a36-442b3e9fe085","","","","","","","","","","","","","","",""
"","","kelsalli","Henicopsaltria kelsalli Distant, 1910","","Henicopsaltria","","kelsalli","","Synonym","synonym","Species","","Distant","1910","Y","d1570def-15ca-472f-8dbd-dcb613f5606b","20250530T00:56:36.273+0000","bb7e1efd-9dc1-453a-8a36-442b3e9fe085","20250729T23:16:11.865+0000","","506c44d5-b782-4270-9f47-360dc5e7963a","Distant, W.L.","1910","Australian Cicadidae with remarks on some recent disputation","415-420","","Annales de la Société Entomologique de Belgique (Comptes-rendus)","","","","<!--MARK--><a href='null151f224b-3b95-401f-a951-3f7016109a92' class='mouseoverHref'>Distant, W.L. 1910. Australian Cicadidae with remarks on some recent disputation.</a> <!--MARK--><!--MARK--><a href='nullacc7fcdb-707a-4cbe-8f70-d7595ac25c58' class='mouseoverHref'><em>Annales de la Société Entomologique de Belgique (Comptes-rendus)</em></a> <strong>54</strong>: 415-420<!--MARK-->","","Article in Journal","151f224b-3b95-401f-a951-3f7016109a92","20081009T05:11:37.000+0000","acc7fcdb-707a-4cbe-8f70-d7595ac25c58"
"","","rufivelum","Henicopsaltria rufivelum Moulds, 1978","CICADIDAE","Henicopsaltria","","rufivelum","","Valid Name","","Species","","Moulds","1978","Y","1f153956-9b0b-4c46-8923-c8c326146dce","20250530T00:56:36.273+0000","c9b73e4b-abb2-4c08-8736-d1119c70df96","20250729T23:16:11.865+0000","640f995a-e649-4529-8c02-4eeae912f431","c9b73e4b-abb2-4c08-8736-d1119c70df96","","","","","","","","","","","","","","",""
"","","rufivelum","Henicopsaltria rufivelum Moulds, 1978","","Henicopsaltria","","rufivelum","","Synonym","synonym","Species","","Moulds","1978","Y","3e310c85-9da4-4d59-886d-b82ea91b97fc","20250530T00:56:36.273+0000","c9b73e4b-abb2-4c08-8736-d1119c70df96","20250729T23:16:11.865+0000","","81fbd10a-10ba-4f24-b360-a236f8d58bc2","Moulds, M.S.","1978","A new species of <i>Henicopsaltria</i> Stål (Homoptera: Cicadidae) from north Queensland","225-228","","Journal of the Australian Entomological Society","","","","<!--MARK--><a href='null9ca80908-9a02-453f-804a-fec2b81fc5d5' class='mouseoverHref'>Moulds, M.S. 1978. A new species of <i>Henicopsaltria</i> Stål (Homoptera: Cicadidae) from north Queensland.</a> <!--MARK--><!--MARK--><a href='nullc2544f9f-3978-4f18-846d-a1fd3122c9c4' class='mouseoverHref'><em>Journal of the Australian Entomological Society</em></a> <strong>17</strong>: 225-228<!--MARK-->","","Article in Journal","9ca80908-9a02-453f-804a-fec2b81fc5d5","20081009T05:11:37.000+0000","c2544f9f-3978-4f18-846d-a1fd3122c9c4"
"","","Arenopsaltria","Arenopsaltria Ashton, 1921","CICADIDAE","Arenopsaltria","","","","Valid Name","","Genus","","Ashton","1921","Y","b81ad09a-bb61-421a-93de-c02ac551e06e","20250530T00:56:36.273+0000","30a7cd74-a9d8-439c-9213-bf229b8ba8f7","20250729T23:16:11.865+0000","c511c09f-d3cd-46b1-ae31-09258d69d1b6","30a7cd74-a9d8-439c-9213-bf229b8ba8f7","","","","","","","","","","","","","","",""
"","","Arenopsaltria","Arenopsaltria Ashton, 1921","","Arenopsaltria","","","","Synonym","synonym","Genus","","Ashton","1921","Y","d235256e-90e2-4020-ab92-ee824aca3eb1","20250530T00:56:36.273+0000","30a7cd74-a9d8-439c-9213-bf229b8ba8f7","20250729T23:16:11.865+0000","","ee358271-1a26-46ec-bedc-69523864df0d","Ashton, J.L.","1921","A revision of the Australian Cicadidae.  Part 1","87-107","","Proceedings of the Royal Society of Victoria","","","","<!--MARK--><a href='null8e26736e-5a15-4858-95fe-361f735d65be' class='mouseoverHref'>Ashton, J.L. 1921. A revision of the Australian Cicadidae.  Part 1.</a> <!--MARK--><!--MARK--><a href='nullce333794-3a02-427f-ba27-346079f1efa0' class='mouseoverHref'><em>Proceedings of the Royal Society of Victoria</em></a> ns <strong>33</strong>: 87-107<!--MARK-->","","Article in Journal","8e26736e-5a15-4858-95fe-361f735d65be","20081009T05:11:37.000+0000","ce333794-3a02-427f-ba27-346079f1efa0"
"","","dryas","Arenopsaltria dryas Moulds & Marshall, 2025","CICADIDAE","Arenopsaltria","","dryas","","Valid Name","","Species","","Moulds & Marshall","2025","Y","a22c4cb5-7c47-430e-8a62-f34d8a3550d3","20250530T01:35:19.908+0000","746169e9-91bc-4842-b075-016b82af8532","20250729T23:16:11.865+0000","30a7cd74-a9d8-439c-9213-bf229b8ba8f7","746169e9-91bc-4842-b075-016b82af8532","","","","","","","","","","","","","","",""
"","","dryas","Arenopsaltria dryas Moulds & Marshall, 2025","CICADIDAE","Arenopsaltria","","dryas","","Synonym","synonym","Species","","Moulds & Marshall","2025","Y","18502757-01ff-4784-9647-5c1496739804","20250530T01:27:32.814+0000","746169e9-91bc-4842-b075-016b82af8532","20250729T23:16:11.865+0000","","929f4911-e89d-4bf0-b48b-f3e87c52f1dc","Moulds, M.S., Marshall, D.C.","2025","New genera and species of cicadas from arid Australia (Hemiptera: Cicadoidea: Cicadidae)","1-40","","Megataxa","","15 March 2025","","<!--MARK--><a href='null0ec24502-8041-4d65-9db2-f7e1d9948cc0' class='mouseoverHref'>Moulds, M.S., Marshall, D.C. 2025. New genera and species of cicadas from arid Australia (Hemiptera: Cicadoidea: Cicadidae).</a> <!--MARK--><!--MARK--><a href='null3f2b869c-d0be-4e4e-9926-fe506be25e81' class='mouseoverHref'><em>Megataxa</em></a> <strong>17</strong>(1): 1-40<!--MARK--> [Date published 15 March 2025]","","Article in Journal","0ec24502-8041-4d65-9db2-f7e1d9948cc0","20250530T01:10:17.902+0000","3f2b869c-d0be-4e4e-9926-fe506be25e81"
"","","exmouthensis","Arenopsaltria exmouthensis Moulds & Marshall, 2025","CICADIDAE","Arenopsaltria","","exmouthensis","","Valid Name","","Species","","Moulds & Marshall","2025","Y","d5567488-517d-4802-817c-ffe680e49f26","20250530T01:17:32.511+0000","079975f0-a62c-4feb-8eee-26b923efa912","20250729T23:16:11.865+0000","30a7cd74-a9d8-439c-9213-bf229b8ba8f7","079975f0-a62c-4feb-8eee-26b923efa912","","","","","","","","","","","","","","",""
"","","exmouthensis","Arenopsaltria exmouthensis Moulds & Marshall, 2025","","Arenopsaltria","","exmouthensis","","Synonym","synonym","Species","","Moulds & Marshall","2025","Y","17255244-5459-4dc0-a9bb-71a639c4118f","20250530T01:21:07.392+0000","079975f0-a62c-4feb-8eee-26b923efa912","20250729T23:16:11.865+0000","","b4781924-fc11-4929-bbc4-5d864d93f98e","Moulds, M.S., Marshall, D.C.","2025","New genera and species of cicadas from arid Australia (Hemiptera: Cicadoidea: Cicadidae)","1-40","","Megataxa","","15 March 2025","","<!--MARK--><a href='null0ec24502-8041-4d65-9db2-f7e1d9948cc0' class='mouseoverHref'>Moulds, M.S., Marshall, D.C. 2025. New genera and species of cicadas from arid Australia (Hemiptera: Cicadoidea: Cicadidae).</a> <!--MARK--><!--MARK--><a href='null3f2b869c-d0be-4e4e-9926-fe506be25e81' class='mouseoverHref'><em>Megataxa</em></a> <strong>17</strong>(1): 1-40<!--MARK--> [Date published 15 March 2025]","","Article in Journal","0ec24502-8041-4d65-9db2-f7e1d9948cc0","20250530T01:10:17.902+0000","3f2b869c-d0be-4e4e-9926-fe506be25e81"
"","","fullo","Arenopsaltria fullo (Walker, 1850)","CICADIDAE","Arenopsaltria","","fullo","","Valid Name","","Species","","Walker","1850","N","86e82640-77d8-4e24-b60e-eec819e5d9f7","20250530T00:56:36.273+0000","c3e6c78b-1952-41bb-b927-e8a5db4efb06","20250729T23:16:11.865+0000","30a7cd74-a9d8-439c-9213-bf229b8ba8f7","c3e6c78b-1952-41bb-b927-e8a5db4efb06","","","","","","","","","","","","","","",""
"","","Sandgrinder","","","","","","","Common Name","","Species","","","","","8f8ff96f-54d7-492b-bbfb-b8737eb101e4","20250530T00:56:36.273+0000","c3e6c78b-1952-41bb-b927-e8a5db4efb06","20250729T23:16:11.865+0000","","","","","","","","","","","","","","","","",""
"","","fullo","Fidicina fullo Walker, 1850","","Fidicina","","fullo","","Synonym","synonym","Species","","Walker","1850","Y","ca63ed0c-cfbc-49d4-91e2-9c6154126744","20250530T00:56:36.273+0000","c3e6c78b-1952-41bb-b927-e8a5db4efb06","20250729T23:16:11.865+0000","","1880bddb-1b6c-4706-8d40-26c1914c0293","Walker, F.","1850","List of the specimens of homopterous insects in the collection of the British Museum. Part 1","pp.1-260","","","","","British Museum","<!--MARK--><a href='null2ad56a79-3b57-4f34-bea0-14037cb26ed8' class='mouseoverHref'>Walker, F. 1850. <em>List of the specimens of homopterous insects in the collection of the British Museum. Part 1</em>. London : British Museum pp.1-260.</a><!--MARK-->","","Book","2ad56a79-3b57-4f34-bea0-14037cb26ed8","20120626T01:33:52.699+0000",""
"","","nubivena","Arenopsaltria nubivena (Walker, 1858)","CICADIDAE","Arenopsaltria","","nubivena","","Valid Name","","Species","","Walker","1858","N","fc45b19a-dfe7-4340-8b20-2e503e69f60c","20250530T00:56:36.273+0000","fd85556a-5f4b-4030-8c8f-06dec9b51149","20250729T23:16:11.865+0000","30a7cd74-a9d8-439c-9213-bf229b8ba8f7","fd85556a-5f4b-4030-8c8f-06dec9b51149","","","","","","","","","","","","","","",""
"","","Eastern Sandgrinder","","","","","","","Common Name","","Species","","","","","0a15b56a-7ff0-461e-b699-1eed8d124983","20250530T00:56:36.273+0000","fd85556a-5f4b-4030-8c8f-06dec9b51149","20250729T23:16:11.865+0000","","","","","","","","","","","","","","","","",""
"","","nubivena","Fidicina nubivena Walker, 1858","","Fidicina","","nubivena","","Synonym","synonym","Species","","Walker","1858","Y","771f1a12-e551-4fcc-9799-2caf11f95ce0","20250530T00:56:36.273+0000","fd85556a-5f4b-4030-8c8f-06dec9b51149","20250729T23:16:11.865+0000","","eb1e0cc5-b5d4-4877-b63f-376fe795e4ca","Walker, F.","1858","List of specimens of Homopterous insects in the collection of the British Museum. Supplement","369","","","","","British Museum (Natural History)","<!--MARK--><a href='nullfdce4388-ea8e-4493-aa7e-41a6695387d0' class='mouseoverHref'>Walker, F. 1858. <em>List of specimens of Homopterous insects in the collection of the British Museum. Supplement</em>. London : British Museum (Natural History) 369 pp.</a><!--MARK-->","","Book","fdce4388-ea8e-4493-aa7e-41a6695387d0","20081009T05:11:37.000+0000",""
"","","pygmaea","Arenopsaltria pygmaea (Distant, 1904)","CICADIDAE","Arenopsaltria","","pygmaea","","Valid Name","","Species","","Distant","1904","N","24a8b0dc-2fbb-401f-8695-f8d486f93139","20250530T00:56:36.273+0000","5601242c-dc59-4b0d-83a2-06a64282236e","20250729T23:16:11.865+0000","30a7cd74-a9d8-439c-9213-bf229b8ba8f7","5601242c-dc59-4b0d-83a2-06a64282236e","","","","","","","","","","","","","","",""
"","","Pygmy Sandgrinder","","","","","","","Common Name","","Species","","","","","92bece61-4a9a-4a51-a798-40369ecf9a53","20250530T00:56:36.273+0000","5601242c-dc59-4b0d-83a2-06a64282236e","20250729T23:16:11.865+0000","","","","","","","","","","","","","","","","",""
"","","pygmaea","Henicopsaltria pygmaea Distant, 1904","","Henicopsaltria","","pygmaea","","Synonym","synonym","Species","","Distant","1904","Y","650d9c55-2747-4527-a74d-46683cc79b5f","20250530T00:56:36.273+0000","5601242c-dc59-4b0d-83a2-06a64282236e","20250729T23:16:11.865+0000","","69e8485d-ddd3-4f06-a3c6-88a14d66b8a8","Distant, W.L.","1904","Rhynchotal notes-XXVI","293-303","","Annals and Magazine of Natural History","","","","<!--MARK--><a href='null0330d6b9-276c-48f0-a6df-b80e88e8a2f8' class='mouseoverHref'>Distant, W.L. 1904. Rhynchotal notes-XXVI.</a> <!--MARK--><!--MARK--><a href='nullefa8de69-3a29-4a43-8ef2-cbefda205976' class='mouseoverHref'><em>Annals and Magazine of Natural History</em></a> 7 <strong>14</strong>: 293-303<!--MARK-->","","Article in Journal","0330d6b9-276c-48f0-a6df-b80e88e8a2f8","20081009T05:11:37.000+0000","efa8de69-3a29-4a43-8ef2-cbefda205976"
"","","Jassopsaltriini","Jassopsaltriini","CICADIDAE","","","","","Valid Name","","Tribe","","","","Y","483d464f-c84b-4efc-a815-764dc992a764","20250530T00:56:36.273+0000","c1275793-2d95-4be8-adf3-43552d7b856a","20250729T23:16:11.865+0000","2435653f-8280-4c43-970e-b5f4ab166519","c1275793-2d95-4be8-adf3-43552d7b856a","","","","","","","","","","","","","","",""
"","","Jassopsaltria","Jassopsaltria Ashton, 1914","CICADIDAE","Jassopsaltria","","","","Valid Name","","Genus","","Ashton","1914","Y","cca4eebf-e013-4062-9436-e1ff3e0964bc","20250530T00:56:36.273+0000","27c6b7b1-da23-489d-aaa0-364aca0a444e","20250729T23:16:11.865+0000","c1275793-2d95-4be8-adf3-43552d7b856a","27c6b7b1-da23-489d-aaa0-364aca0a444e","","","","","","","","","","","","","","",""
"","","Jassopsaltria","Jassopsaltria Ashton, 1914","","Jassopsaltria","","","","Synonym","synonym","Genus","","Ashton","1914","Y","f4b70ff5-5fb3-4420-b98c-6b1cb1d41188","20250530T00:56:36.273+0000","27c6b7b1-da23-489d-aaa0-364aca0a444e","20250729T23:16:11.865+0000","","8deaf70a-14d7-4109-946f-ba713b994e3b","Ashton, H.","1914","Catalogue of the Cicadidae of the South Australian Museum with descriptions of several new species","345-358, pl. xvii","","Transactions and Proceedings of the Royal Society of South Australia","","","","<!--MARK--><a href='nulla04638c1-af7e-4d10-9a21-f7f6fe35ef02' class='mouseoverHref'>Ashton, H. 1914. Catalogue of the Cicadidae of the South Australian Museum with descriptions of several new species.</a> <!--MARK--><!--MARK--><a href='null4f4be976-519e-451f-93bc-af70c0260caf' class='mouseoverHref'><em>Transactions and Proceedings of the Royal Society of South Australia</em></a> <strong>38</strong>: 345-358, pl. xvii<!--MARK-->","","Article in Journal","a04638c1-af7e-4d10-9a21-f7f6fe35ef02","20131118T20:26:44.761+0000","4f4be976-519e-451f-93bc-af70c0260caf"
"","","danielsorum","Jassopsaltria danielsorum Moulds & Marshall, 2021","CICADIDAE","Jassopsaltria","","danielsorum","","Valid Name","","Species","","Moulds & Marshall","2021","Y","38618158-f592-4a61-8058-da36cfc43ab5","20250530T00:56:36.273+0000","188932a1-0031-4e5b-8268-5114a39db6f8","20250729T23:16:11.865+0000","27c6b7b1-da23-489d-aaa0-364aca0a444e","188932a1-0031-4e5b-8268-5114a39db6f8","","","","","","","","","","","","","","",""
"","","danielsorum","Jassopsaltria danielsorum Moulds & Marshall, 2021","","Jassopsaltria","","danielsorum","","Synonym","synonym","Species","","Moulds & Marshall","2021","Y","a4365a30-c7da-45cb-a22c-957dd0ba54c3","20250530T00:56:36.273+0000","188932a1-0031-4e5b-8268-5114a39db6f8","20250729T23:16:11.865+0000","","bed8cd61-4169-4ffd-b726-d9a426544202","Moulds, M.S. & Marshall, D.C.","2021","A Revision of the endemic australian cicada genus <i>Jassopsaltria</i> Ashton, 1914 (Cicadidae: Cicadinae: Jassopsaltriini)","217-240","","Australian Entomologist","","","","<!--MARK--><a href='null0b2f315b-dfd5-42a5-b5b6-b7eadacaa313' class='mouseoverHref'>Moulds, M.S. & Marshall, D.C. 2021. A Revision of the endemic australian cicada genus <i>Jassopsaltria</i> Ashton, 1914 (Cicadidae: Cicadinae: Jassopsaltriini).</a> <!--MARK--><!--MARK--><a href='null3ffa056e-e79b-45d8-a5e0-27f16422b74e' class='mouseoverHref'><em>Australian Entomologist</em></a> <strong>48</strong>(4): 217-240<!--MARK-->","","Article in Journal","0b2f315b-dfd5-42a5-b5b6-b7eadacaa313","20220615T05:08:20.450+0000","3ffa056e-e79b-45d8-a5e0-27f16422b74e"
"","","aeroides","Jassopsaltria aeroides Moulds & Marshall, 2021","CICADIDAE","Jassopsaltria","","aeroides","","Valid Name","","Species","","Moulds & Marshall","2021","Y","62b52d55-df4e-4f41-b245-930353676df8","20250530T00:56:36.273+0000","1a6c37b9-d453-4ee3-ae8e-e9bb7486e6db","20250729T23:16:11.865+0000","27c6b7b1-da23-489d-aaa0-364aca0a444e","1a6c37b9-d453-4ee3-ae8e-e9bb7486e6db","","","","","","","","","","","","","","",""
"","","aeroides","Jassopsaltria aeroides Moulds & Marshall, 2021","","Jassopsaltria","","aeroides","","Synonym","synonym","Species","","Moulds & Marshall","2021","Y","ac43d3ca-5f05-4081-9121-b39f9835f052","20250530T00:56:36.273+0000","1a6c37b9-d453-4ee3-ae8e-e9bb7486e6db","20250729T23:16:11.865+0000","","cbc425c8-b7d6-45c4-b203-ee5c72186316","Moulds, M.S. & Marshall, D.C.","2021","A Revision of the endemic australian cicada genus <i>Jassopsaltria</i> Ashton, 1914 (Cicadidae: Cicadinae: Jassopsaltriini)","217-240","","Australian Entomologist","","","","<!--MARK--><a href='null0b2f315b-dfd5-42a5-b5b6-b7eadacaa313' class='mouseoverHref'>Moulds, M.S. & Marshall, D.C. 2021. A Revision of the endemic australian cicada genus <i>Jassopsaltria</i> Ashton, 1914 (Cicadidae: Cicadinae: Jassopsaltriini).</a> <!--MARK--><!--MARK--><a href='null3ffa056e-e79b-45d8-a5e0-27f16422b74e' class='mouseoverHref'><em>Australian Entomologist</em></a> <strong>48</strong>(4): 217-240<!--MARK-->","","Article in Journal","0b2f315b-dfd5-42a5-b5b6-b7eadacaa313","20220615T05:08:20.450+0000","3ffa056e-e79b-45d8-a5e0-27f16422b74e"
